Name,Other names,Earliest appearance,Works featured in,Description
Aglovale†,"Agloval, Sir Aglovale de Galis",,"The Life of Sir Aglovale de Galis, The Once and Future King",King Pellinore's eldest son
Agravain†,Agravaine,,"Lancelot-Grail, Le Morte D'Arthur, The Once and Future King","Second son of King Lot and Morgause, joins Mordred's rebellion"
Bagdemagus†,,,"Lancelot, the Knight of the Cart, 1170s",Meleagant's father and ruler of Gorre
Ban,,,"Lancelot-Grail, early 13th century;, The Once and Future King",Lancelot's father
Black Knight,,,,King Arthur's grandson through Tom a Lincoln. Another Black Knight is an antagonist figure
Bors the Elder,(French: Bohort),,"Lancelot-Grail, early 13th century; The Once and Future King","Brother to King Ban, and an ally of Arthur's"
Bors the Younger†,,,,"Son of Bors the Elder, father of Elyan the White"
Bruin,Sir Bruin Surnamed the Black,,"First Named in ""King Arthur Meets Lady Guinevere"" Howard Pyle","Unknown Family, One of the original 32 Knights of the Round Table"
Breunor le Noir†,"Brunor, La Cote Male Taile",,,"Knight who wears his murdered father's coat, brother of Dinadan and Daniel"
Cador†,(Latin: Cadorius),,"Historia Regum Britanniae, The Dream of Rhonabwy","Raised Guinevere as his ward, father to Constantine III of Britain, described in some works as Arthur's cousin"
Caelia,"Celia, The Faerie Queene",,"The Faerie Queene, 1590; Tom a Lincoln part 1, 1599","Tom a'Lincoln's lover, mother to the Faerie Knight"
Caradoc†,"(Latin: Caractacus), (Welsh: Caradog Freichfras), (French: Carados Briefbras)",,"Perceval, the Story of the Grail, the Mabinogion","Rebelled against Arthur when he first became king, but later supported him, sometimes two characters—Caradoc the Elder (a king) and Caradoc the Younger (a knight)"
Catigern,(Welsh: Cattegirn),,"Historia Brittonum, 9th century; Harleian genealogies; Historia Regum Britanniae, c. 1134","Son of Vortigern, fought alongside his brother Vortimer against the Saxons"
Claudas,,,"Perlesvaus, Lancelot-Grail, Post-Vulgate Cycle, Le Morte d'Arthur","A Frankish King antagonistic to Arthur, has two sons, Dorin and Claudin"
Claudin†,,,"Lancelot-Grail, Le Morte d'Arthur","Virtuous son of the Frankish villain Claudas, eventually becomes one of 12 knights to achieve the Holy Grail"
Dagonet†,,,Idylls of the King,Arthur's court jester
Dindrane,"(Italian: Agrestizia), (Welsh: Danbrann), Dindraine, Heliabel",,,"Sister (sometimes half-sister) of Percival, plays a large part in many Holy Grail stories"
Durnure,"Sir Durnure, Dornar",,"First Named in ""King Arthur Meets Lady Guinevere"" Howard Pyle","One of Three Sons of King Pellinore, one of the original 32 Knights of the Round Table"
Elaine of Garlot,,,,"Daughter of Gorlois and Igraine, sister to Morgan le Fay and Morgause and a half-sister to King Arthur, wife to King Nentres."
Elaine of Listenoise,,,Le Morte d'Arthur,"Daughter of King Pellinore, lover of Sir Miles of the Laundes"
Elaine the Peerless,,,,Niece of the Lord of the Fens and wife of Persides the Red of the Castle of Gazevilte
Elyan the White†,(French: Helyan le Blanc),,,"Son of Sir Bors and Claire, King Brandegoris' daughter, helps Lancelot rescue Guinevere and goes into exile with him"
Epinogres,Sir Epinogres,,"First Named in ""King Arthur Meets Lady Guinevere"" Howard Pyle","Son of King of Umberland, and brother unto Enchantress Vivien, one of the original 32 Knights of the Round Table"
Esclabor†,,,,"Father of Palamedes, Safir, and Segwarides"
Gaheris†,,,"Le Morte d'Arthur, The Once and Future King","Son of King Lot and Morgause, brother to Gawain, Agravaine, and Gareth, and half-brother to Mordred"
Gareth†,Beaumains,,"Le Morte d'Arthur, Idylls of the King, The Once and Future King","Also a son of Lot and Morgause, in love with Lyonesse"
Geneir Gwystyl,,,,One of King Arthur's knights in the Welsh Arthurian legend[1]
Geraint†,,,Geraint and Enid,Enid's lover
Gingalain†,"Guinglain, Gingalin, Gliglois, Wigalois, Le Bel Inconnu",,Le Bel Inconnu,Gawain's and Blanchemal's son
Gorlois†,(Old Welsh: Gwrlais),,Historia Regum Britanniae,"Igraine's first husband before she married Uther Pendragon, father of Morgause and Morgan le Fay."
Griflet†,"Girflet, Jaufre",,Jaufré,"The son of Do (or Don), cousin to Sir Lucan and Sir Bedivere"
Hector de Maris†,Ector de Maris,,"Quest du Saint Graal, Vulgate Cycle, The Once and Future King","Half-brother of Lancelot, son of King Ban and the Lady de Maris, Sir Bors and Sir Lionel are his cousins"
Hoel†,"(Welsh: Howel, Hywel)",,"The Dream of Rhonabwy, Geraint and Enid","Son of King Budic of Brittany, father to St. Tudwal"
Iseult of Ireland,"Isolde, Yseult, Isode, Isoude, Isotta",,Tristan and Iseult,Wife of Mark of Cornwall and adulterous lover of Sir Tristan
(Queen) Iseult,"Isolde, Yseult, Isode, Isoude, Isotta",,Tristan and Iseult,Iseult of Ireland's mother
Iseult of the White Hands,"Isolde, Yseult, Isode, Isoude, Isotta",,Tristan and Iseult,"Daughter of Hoel of Brittany, sister of Sir Kahedin, and wife of Tristan"
Josephus of Arimathea,"Josephe, Josephes",,"Lancelot-Grail cycle, Post-Vulgate Cycle, Prose Tristan, Le Morte D'Arthur",Son of Joseph of Arimathea
Leodegrance†,"Leondegrance, Leodegraunce",,,"Guinevere's father, King of Cameliard in what is now southwest England"
Lionel†,,,"Lancelot-Grail, early 13th century; The Once and Future King","Son of King Bors of Gaunnes (or Gaul), brother of Bors the Younger"
Lucan†,Sir Lucan the Butler,,Le Morte d'Arthur,"Servant to King Arthur, Bedivere's brother, Griflet's cousin"
Meirchion,,,Tristan and Iseult,Father to Mark of Cornwall
Morvydd,,,"Welsh Triads, Culhwch and Olwen",Owain's twin sister
Nimue,see Lady of the Lake,,,
Oberon,"Auberon, King of Shadows and Fairies",,,"King of the Fairies, sometimes identified as a son of Morgan le Fay"
Parcenet,,,The Story of King Arthur and His Knights,A maid from Queen Ettarre's court who helps Sir Pelleas
Pelles,see Fisher King,,,
Pellinore†,,,"Lancelot-Grail, Post-Vulgate Cycle, Le Morte d'Arthur, The Once and Future King","King of Listenoise, friend to Arthur, father to many"
