,Name,date,Earliest appearance,Works featured in,Description
76,Aurelius Ambrosius,540.0,De Excidio et Conquestu Britanniae c. 540s,Historia Brittonum c. 820,"Uther Pendragon's brother, High King of Britain before him"
123,Mark of Cornwall,550.0,Possibly based on a historical figure from the 6th century,"Post-Vulgate Cycle, Prose Tristan, Le Morte d'Arthur, Palamedes, The Once and Future King","Tristan's uncle, husband to Iseult"
152,(King) Arthur†,650.0,"Y Gododdin, c. 7th century",Many,"High King of Britain, ruler of Logres and lord of Camelot"
128,Vortigern,721.0,"Probably a historical figure, The Ecclesiastical History of the English People, 721",,King of Britain whose decisions assisted the Anglo-Saxon invasion of Britain
138,Hengest,721.0,"The Ecclesiastical History of the English People, 721",Historia Regum Britanniae,"An Anglo-Saxon king killed by Uther Pendragon, Horsa's brother"
139,Horsa,721.0,"The Ecclesiastical History of the English People, 721",Anglo-Saxon Chronicle,Brother to Hengest
60,Ywain†,820.0,Based on the historical figure Owain mab Urien,"Historia Brittonum, Yvain, the Knight of the Lion","Urien's son, Morvydd's brother"
85,Amr,820.0,"Historia Brittonum, c. 820",Geraint and Enid,Son of King Arthur
86,Brutus of Britain,820.0,"Historia Brittonum, c. 820",,"First King of Britain, a Trojan"
87,Vortimer,820.0,"Historia Brittonum, c. 820",,Son of Vortigern
96,Owain†,820.0,Historical figure,"Owain, or the Lady of the Fountain",Son of Urien
98,Urien†,820.0,Historical figure,Welsh Triads,"Father of Ywain (Owain mab Urien), husband of Morgan le Fay"
54,(King) Cerdic of Wessex,850.0,"Anglo-Saxon Chronicle, 9th century",,First King of Wessex
55,(King) Cynric of Wessex,850.0,"Anglo-Saxon Chronicle, 9th century",,"Second King of Wessex, son of Cerdic"
112,Bedivere†,950.0,"Pa Gur yv y Porthaur, c. 10th century","Vita Cadoc, Culhwch and Olwen, Stanzas of the Graves, Welsh Triads, Historia Regum Britanniae, Le Morte d'Arthur, numerous others","Returns Excalibur to The Lady of the Lake, brother to Sir Lucan"
113,Uther Pendragon,950.0,"Pa Gur yv y Porthaur?, c. 10th century","Historia Regum Britanniae, c. 1136; Welsh Triads; The Once and Future King",Arthur's father
111,Kay†,950.0,"Pa Gur yv y porthaur, 10th century",Many,"Foster brother to Arthur, Sir Ector's son"
56,Mordred†,970.0,"Annales Cambriae, c. 970",Many,"In some literature, Arthur's illegitimate son through Morgause (or Morgan le Fay), kills and is killed by Arthur"
63,Llamrei,1050.0,"Culhwch and Olwen, 11th century","Culhwch and Olwen, 11th century",Llamrei was a mare owned by King Arthur
64,Mabon ap Modron,1050.0,"Culhwch and Olwen, 11th century",Welsh Triads,"Son of Modron, kidnapped at birth, rescued by Culhwch"
74,Modron,1050.0,"Culhwch and Olwen, Welsh Triads, 11th century",Welsh Triads,"Mother of Mabon, in another folktale, she is the mother of Owain (Ywain) and Morvydd by Urien, Possible source for Morgan le Fay"
65,Culhwch,1050.0,"Culhwch and Olwen, c. 11th century",,Cousin of Arthur's in early Welsh legend
66,Gawain†,1050.0,"Culhwch and Olwen, c. 11th century","Conte du Graal, Lancelot-Grail cycle, Prose Tristan, Sir Gawain and the Green Knight, Le Morte D'Arthur, The Once and Future King, many short Middle English romances","Another son of Lot and Morgause, father of Gingalain"
67,Guinevak,1050.0,"Culhwch and Olwen, c. 11th century","Welsh Triads, Misfortunes of Elphin",Guinevere's half-sister
68,(Queen) Guinevere,1050.0,"Culhwch and Olwen, c. 11th century",Many,"High Queen of Britain, wife of King Arthur, famous for her affair with Lancelot"
69,Gwyn ap Nudd,1050.0,"Culhwch and Olwen, c. 11th century",,"One of Arthur's knights. Brother of Edern ap Nudd, rival of Gwythyr ap Greidawl, lover of Creiddylad"
70,Olwen,1050.0,"Culhwch and Olwen, c. 11th century",,"Daughter of Ysbaddaden, beloved of Culhwch"
71,Ysbaddaden,1050.0,"Culhwch and Olwen, c. 11th century",,A giant and antagonist
62,Menw ap Tairgwaedd,1100.0,Culhwch and Olwen c. 1100,Welsh Triads,"Enchanter, member of Arthur's retinue"
72,Edern ap Nudd,1100.0,"Culhwch and Olwen, c. 1100","Erec and Enide, Geraint ac Enid, The Dream of Rhonabwy","Brother of Gwyn ap Nudd, rival to Erec/Geraint, originally a hostile figure, later a member of Arthur's retinue"
73,Hueil mab Caw,1110.0,"Culhwch and Olwen, c. 1110","Vita Gildae, Welsh Triads","A Pictish plunderer and chieftain, killed by Arthur, brother to Saint Gildas"
12,Catigern,1134.0,,"Historia Brittonum, 9th century; Harleian genealogies; Historia Regum Britanniae, c. 1134","Son of Vortigern, fought alongside his brother Vortimer against the Saxons"
9,Cador†,1136.0,,"Historia Regum Britanniae, The Dream of Rhonabwy","Raised Guinevere as his ward, father to Constantine III of Britain, described in some works as Arthur's cousin"
29,Gorlois†,1136.0,,Historia Regum Britanniae,"Igraine's first husband before she married Uther Pendragon, father of Morgause and Morgan le Fay."
58,(King) Constans son of Constantine,1136.0,Based on the historical figure Constans,Historia Regum Britanniae,"Son of Constantine II of Britain, older brother to Uther Pendragon"
59,(King) Constantine II of Britain,1136.0,Based on the historical figure Constantine,Historia Regum Britanniae,"Arthur's grandfather, father to Uther Pendragon, Constans, and Ambrosius Aurelianus"
88,Constantine†,1136.0,"Historia Regum Britanniae, c. 1136","Historia Regum Britanniae, Le Morte d'Arthur","Arthur's nephew and successor to his throne, Cador's son"
89,Igraine,1136.0,"Historia Regum Britanniae, c. 1136","Vulgate Merlin, Le Morte d'Arthur, The Once and Future King","Mother to King Arthur through an affair with Uther Pendragon, mother of Morgause and Morgan le Fay through her first husband Gorlois"
90,Lot,1136.0,"Historia Regum Britanniae, c. 1136","Le Morte d'Arthur, The Once and Future King","King of Lothian, father to Gawain, Agravain, Gaheris, and Gareth"
91,Lucius,1136.0,"Historia Regum Britanniae, c. 1136","Alliterative Morte Arthure, Le Morte d'Arthur,",A fictional Roman Emperor and antagonist to Arthur
92,Melehan,1136.0,"Historia Regum Britanniae, c. 1136",,Elder son of Mordred
93,Morgause,1136.0,"Historia Regum Britanniae, c. 1136","The Once and Future King, many others","Arthur's half-sister, wife to King Lot, mother to Gawain, Agravaine, Gaheris, and Gareth, and in some traditions, also the mother of Mordred"
94,Rience,1136.0,"Historia Regum Britanniae, c. 1136","Lancelot-Grail, Post Vulgate Cycle, Le Morte d'Arthur",King defeated by Arthur
95,Merlin,1136.0,"Historia Regum Britanniae, c. 1136, but derived from earlier Welsh tales",Many,"Wizard, guide to King Arthur"
