,Name,"(540, 'De Excidio et Conquestu Britanniae')","(600, 'Book of Taliesin')","(650, 'Y Gododdin')","(721, 'The Ecclesiastical History of the English People')","(850, 'Historia Brittonum')","(950, 'Pa Gur yv y porthaur')","(970, 'Annales Cambriae')","(975, 'Harleian genealogies')","(1050, 'Culhwch and Olwen, Welsh Triads')","(1110, 'Culhwch ac Olwen')","(1134, 'Historia Regum Britanniae')","(1150, 'Vita Merlini')","(1170, 'Erec and Enide')","(1175, '1170s')","(1181, 'Perceval, the Story of the Grail')","(1200, 'Mabinogion')","(1210, 'Perlesvaus')","(1220, 'Daniel von Blumenthal')","(1225, 'Parzival')","(1230, 'Jaufré')","(1235, 'Prose Tristan')","(1240, 'Palamedes')","(1250, 'Morien')","(1275, 'Welsh Triads')","(1280, 'Girart')","(1300, 'Sir Gawain and the Green Knight')","(1470, ""Le Morte D'Arthur"")","(1584, 'Discovery of Witchcraft')","(1590, 'The Faerie Queene')","(1591, 'Farewell to Folly')","(1599, 'Tom a Lincoln part 1')","(1885, 'Idylls of the King')","(1903, 'King Arthur Meets Lady Guinevere')","(1905, 'The Life of Sir Aglovale de Galis')","(1958, 'The Once and Future King')"
0,Aurelius Ambrosius,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(King) Constantine II of Britain,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2,Ywain†,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Madoc,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Owain†,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(King) Arthur†,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hengest,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
7,Vortigern,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Horsa,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Catigern,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,
10,Amr,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Brutus of Britain,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Vortimer,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kay†,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mordred†,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Modron,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,
16,Penpingion[2],,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
17,Uther Pendragon,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,True
18,Bedivere†,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,
19,Igraine,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True
20,Lot,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True
21,Morgause,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True
22,Cador†,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
23,Gorlois†,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
24,(King) Constans son of Constantine,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
25,Constantine†,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
26,Lucius,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
27,Melehan,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
28,Rience,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
29,Merlin,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
30,Morgan le Fay,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
